name,watercourse_code,length,first_point,last_point,is_affluent,classe,river_join
Dérivation de Bray à la Tombe,F2--3202,10.112728960822603,"[3.230787911875701, 48.41881557002574]","[3.101223242810419, 48.39156720568532]",1,1,La Seine
La Marsange,F4770600,30.389136738139463,"[2.860088915680951, 48.83373194562781]","[2.78788234929373, 48.66056016712864]",1,3,La Seine
La Cure,F31-0400,113.15195352131634,"[4.086476865604023, 47.10853409207691]","[3.687748841983814, 47.67613196855047]",1,1,La Seine
Le Cousin,F31-0410,66.61595706113229,"[4.139075638377187, 47.24026559781472]","[3.787278501453903, 47.52636747509619]",1,2,La Seine
L'Aronde,H0360600,26.36281390104661,"[2.58263103293928, 49.50138229084403]","[2.853957381941632, 49.43695418029573]",1,3,La Seine
L'Iton Bras Force de Breteuil,H4347201,14.071675155185488,"[0.823349154752437, 48.78393107839861]","[0.955549391672813, 48.827917389045375]",1,1,La Seine
Le Rognon,F51-0400,73.29771143932861,"[5.4618446789444, 48.017269519800074]","[5.161376501809308, 48.37566419423398]",1,2,La Seine
La Meuvette,H4240600,32.7786435492418596,"[0.91406164657172, 48.571384326215174]","[1.138605348121422, 48.76149518392528]",1,3,La Seine
La Suize,F5050600,48.53781458176854,"[5.187469083364152, 47.827241081338315]","[5.132878246500618, 48.135720485757744]",1,3,La Seine
Bras de l'Aube,F15-4101,9.298736110787173,"[3.990781530506729, 48.56401433315103]","[3.930596339307742, 48.567618403834565]",1,3,La Seine
La Traire,F5030600,29.00824353688572,"[5.471146008197616, 47.93683313945263]","[5.235551674241952, 48.03892746144047]",1,3,La Seine
Le Sauzay,F3070600,25.177516837630634,"[3.34937368748118, 47.34732287613297]","[3.504074063791031, 47.45179319447484]",1,3,La Seine
La Digeanne,F0410600,28.326031961404823,"[4.850255021810937, 47.64296650659578]","[4.780523069826848, 47.816003154879354]",1,3,La Seine
L'Orge,F5510600,54.126271934588175,"[1.892900561588682, 48.52612109272209]","[2.404870468340572, 48.71157338214591]",1,3,La Seine
La Petite Breche,H2079901,3.3717685339319683,"[2.462038604881414, 49.28755270640096]","[2.490764859034358, 49.26724274408203]",1,3,La Seine
L'Ourcq,F63-0400,86.50342658087881,"[3.580766266798924, 49.12656219685053]","[3.013061683767381, 49.013417087802914]",1,2,La Seine
La Bievre,F70-0400,34.59636677273919,"[2.048917407466534, 48.7802894184777]","[2.366290929928754, 48.84495363058112]",1,3,La Seine
La Voise,H40-0400,32.943823238771856,"[1.708700522587696, 48.40068191830151]","[1.56681800962527, 48.60021740175747]",1,3,La Seine
Le Fusain,F43-0400,34.38487595647002,"[2.391162468233893, 48.10025752171369]","[2.74315481313042, 48.158725740500394]",1,3,La Seine
Ruisseau des Barres,H1351000,27.87728623652662,"[4.193284100586089, 49.64518413642647]","[4.127174916987411, 49.48525936116858]",1,3,La Seine
L'Ornain,F56-0400,115.85452749128144,"[5.510057701587789, 48.404516270792854]","[4.803590045070281, 48.76888383334314]",1,1,La Seine
L'Orvanne,F4398000,38.82335878881265,"[3.112624565738826, 48.18353520662442]","[2.818212884776231, 48.37793095878171]",1,3,La Seine
Aqueduc de la Dhuis,F---2302,128.60505814045356,"[3.559495035781162, 48.947855941685226]","[2.406933036731799, 48.87136802176395]",1,1,La Seine
Aqueduc du Loing,F---2402,90.88687144475892,"[2.693034926821241, 48.258254490798585]","[2.333961780752564, 48.82475982347632]",1,1,La Seine
Aqueduc de la Voulzie,F---2802,55.38511133774267,"[3.368064940790049, 48.56388789770488]","[2.767639093016671, 48.37566357740405]",1,2,La Seine
Le Betz,F4298000,34.386144651504715,"[3.089285858742673, 48.11301796185602]","[2.753174781665241, 48.1537081131491]",1,3,La Seine
La Voire,F12-0400,56.16948165120052,"[4.920715354009183, 48.42774377798621]","[4.406445979078229, 48.44492917864951]",1,2,La Seine
Aqueduc de la Vanne,F---2902,156.81685531024675,"[3.661408761609734, 48.22422326269487]","[2.333766249677345, 48.82471196660606]",1,1,La Seine
L'Auxence,F24-0400,34.1898117120762073,"[3.146283044207814, 48.518817037007906]","[3.052011663074294, 48.39216399846994]",1,3,La Seine
Le Therain,H21-0400,94.42463549731286,"[1.655276400368857, 49.628947966358346]","[2.450453336978807, 49.24066679291403]",1,2,La Seine
La Biesme,H1060600,28.2503006108455,"[5.05725300068079, 49.0404406280652]","[4.862665355658847, 49.179322905621994]",1,3,La Seine
Le Cailly,H5040600,29.36270927788611,"[1.232408666276559, 49.582746913545655]","[1.045358226938536, 49.4392824271657]",1,3,La Seine
La Blaise,H41-0410,49.069950718263705,"[0.953032999825931, 48.56345788901245]","[1.409594682179635, 48.76461002995561]",1,3,La Seine
L'Ecole,F4480600,26.720432974421882,"[2.523879174254845, 48.36095549534603]","[2.548377618319253, 48.53742794047224]",1,3,La Seine
La Drouette,H41-0400,39.73065976200884,"[1.913848592889887, 48.67127941311195]","[1.549129197955182, 48.62095718327216]",1,3,La Seine
L'Armançon,F3--0210,202.118486638310493,"[4.54796794079631, 47.21826091565397]","[3.507721423468231, 47.952685281554544]",1,1,La Seine
L'Yonne,F3--0200,292.1304041273059,"[4.010691004386414, 46.95615541413002]","[2.957178254238257, 48.388718347764986]",1,1,La Seine
La Viosne,H2280600,28.782762655998813,"[1.896386984076463, 49.19635372762353]","[2.097007986184601, 49.040027167760805]",1,3,La Seine
L'Yvron,F4730600,30.06487975637906,"[3.187414720751882, 48.617130869632575]","[2.920933737737226, 48.65617673016093]",1,3,La Seine
L'Ource,F04-0400,100.35119007620783,"[4.983075893747468, 47.70110997932304]","[4.380658278720282, 48.09613324377438]",1,2,La Seine
L'Aube,F1--0200,248.77779408040195,"[5.165278476630753, 47.75839550915292]","[3.714912569261275, 48.55776532335908]",1,1,La Seine
L'Ailette,H02-0400,59.523147635758455,"[3.767412615019141, 49.47867429572817]","[3.161559082091611, 49.57801965987429]",1,2,La Seine
Le Vrin,F3531000,36.92713216176551,"[3.324073204042374, 47.77211603550199]","[3.341927328490919, 47.99692405212094]",1,3,La Seine
Ruisseau de la Motte,F4246000,10.673633369827312,"[2.402053881931505, 47.898804034533455]","[2.525094091326407, 47.93142951159822]",1,3,La Seine
Le Chalaux,F3110600,36.231207752329375,"[4.030778482007175, 47.14967971536756]","[3.909979424612752, 47.38484353907323]",1,3,La Seine
La Treille,F4228600,13.957828389214232,"[2.505277584071067, 47.830003015294544]","[2.626407307881277, 47.91380685632893]",1,3,La Seine
Le Solin,F4228000,32.538204123566306,"[2.609997067902451, 47.80583380191313]","[2.727875028817093, 48.031408910331116]",1,3,La Seine
L'Oise,H---0100,341.3157948981071,"[4.355660982705151, 49.99637151583954]","[2.070825476628699, 48.98578414480394]",1,1,La Seine
Ru de Baulches,F3210600,26.416550970906144,"[3.493411304490257, 47.68150880795874]","[3.561364386882833, 47.8526147321546]",1,3,La Seine
L'Eure,H4--0200,228.64104917703335,"[0.807374979957914, 48.55202747539483]","[1.038558805162557, 49.29545187605361]",1,1,La Seine
Le Rouloir,H4360600,49.100980300697685,"[0.63639870810856, 48.731402768417894]","[1.010815052118439, 48.97791515451391]",1,3,La Seine
L'Ardre,H15-0420,39.34712623258369,"[3.975539597287304, 49.122320239152046]","[3.659906984077099, 49.30834306352102]",1,3,La Seine
La Vesle,H15-0400,139.38387559106644,"[4.603158428370115, 48.98392981571998]","[3.467504018390593, 49.393451108188124]",1,1,La Seine
L'Arce,F0506000,8.800683345040627,"[4.919413461190533, 47.72612987037689]","[4.863341856283816, 47.776671233486056]",1,3,La Seine
La Risle,H6--0200,144.72306972029048,"[0.360481240499608, 48.670055175087846]","[0.363406420287064, 49.4406752667882]",1,1,La Seine
Le Branlin,F4140600,43.719743485831046,"[3.245630553979298, 47.60158525392223]","[3.093154917459924, 47.85852247604943]",1,3,La Seine
Le Serein,F32-0400,188.0608151459942,"[4.435288570710174, 47.21960144084413]","[3.524445201010331, 47.92238651241807]",1,1,La Seine
Rigole de Courpalet,F42-4202,32.81334862443387,"[2.552343216042785, 47.82677746554077]","[2.445135838256349, 47.908045985540575]",1,3,La Seine
L'Essonne,F45-0400,101.04989284124086,"[2.130878951488333, 48.0361232154224]","[2.481978743169632, 48.61487346176983]",1,1,La Seine
L'Auzon,F13-0400,30.50233696983151,"[4.016523781249758, 44.26621074719839]","[4.266689919733714, 44.23084422082157]",1,3,La Seine
La Juine,F45-0420,52.5979980869965,"[2.06859465911987, 48.26236576122972]","[2.37214148842572, 48.53663332950875]",1,2,La Seine
La Verdonnelle,F6188000,25.5572369772623745,"[3.790208420695989, 48.8851607655397]","[3.561043862739137, 48.99663380695071]",1,3,La Seine
Le Clignon,F6370600,29.964128225631327,"[3.406582199875612, 49.088391733738696]","[3.07192706288598, 49.117775371879844]",1,3,La Seine
Ruisseau des Meances,F2220600,27.12778207145902,"[3.414327984783889, 48.53511689272892]","[3.209523580512586, 48.4274808638112]",1,3,La Seine
La Brevonne,F1270600,27.556488291666216,"[4.71127738350874, 48.31029058279271]","[4.549513672996597, 48.47096179874399]",1,3,La Seine
Dérivation de Gurgy,F3225102,5.012914281951538,"[3.555094612356212, 47.867611726791196]","[3.532993201711025, 47.909887846241105]",1,1,La Seine
L'Almont,F44-0400,42.13293408044749,"[3.037955800951202, 48.56018915818304]","[2.662252709245591, 48.535722522502844]",1,3,La Seine
Bras de l'Avre,H4218801,1.13907446147034016,"[0.923792199887275, 48.732724267146985]","[0.936822456666506, 48.73333622983603]",1,2,La Seine
La Theve,H22-0500,33.55468862561993,"[2.653099363369233, 49.068892925794444]","[2.36202781087925, 49.15075254679781]",1,3,La Seine
L'Anguison,F3020600,31.066774485206384,"[3.915967480267009, 47.19224935472585]","[3.655572788471479, 47.27631252099088]",1,3,La Seine
La Laines,F1250600,28.40888292311963,"[4.75216806019189, 48.32327593720818]","[4.618110432750772, 48.46948076950835]",1,3,La Seine
La Brenne,F33-0400,71.67115593268144,"[4.709772295886243, 47.313545402034144]","[4.275982794585105, 47.64388368195845]",1,2,La Seine
Le Pontet,F4248800,8.428225969068563,"[2.45710472672131, 47.87772722199221]","[2.52547560079302, 47.93204482920895]",1,3,La Seine
Le Ceffondet,F1210600,29.187035311404426,"[4.883416448440088, 48.296286111776446]","[4.747744807935334, 48.48982031408346]",1,3,La Seine
La Mauldre,H30-0400,34.654122863384124,"[1.877029096574265, 48.73391099289559]","[1.8126533015245, 48.97315642879823]",1,3,La Seine
Le Brevon,F0050600,31.493325427875295,"[4.840188849747193, 47.613037708653486]","[4.603129251490991, 47.739686703351424]",1,3,La Seine
La Nonette,H22-0400,40.43085002399191,"[2.823412268463895, 49.137223444227935]","[2.399172076068691, 49.20410941544729]",1,3,La Seine
La Charentonne,H61-0400,62.70537466091663,"[0.429874498405678, 48.76610074796901]","[0.729015119389643, 49.128926003954696]",1,2,La Seine
La Poterie,F4248000,14.009983108709566,"[2.45639787995785, 47.86091097824993]","[2.542539081570215, 47.94991368933464]",1,3,La Seine
Ru de la Vallee Javot,F4410600,28.976292357057712,"[3.053772083298278, 48.482258129822846]","[2.770810607971304, 48.46197876149]",1,3,La Seine
La Saulx,F5--0200,115.35312498053116,"[5.359830080175552, 48.41376075515825]","[4.581080182595665, 48.74336695709583]",1,1,La Seine
La Vesgre,H42-0410,44.96645950339157,"[1.777661143740144, 48.708379217174226]","[1.466592918719352, 48.88551992629669]",1,3,La Seine
L'Avre,H42-0400,80.39942347436461,"[0.595159802806704, 48.60017517003076]","[1.374992796666287, 48.78136035385217]",1,2,La Seine
Embranchement de Vermenton,F3--3492,3.932727134810178,"[3.726913926443927, 47.66366237038086]","[3.677350096478241, 47.66779640427109]",1,1,La Seine
